VEL LIN,LS 0-179,LC 180-359,LD 360-539
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.7917104952468116,0.0082787800746246,0.0003445568755001,0.0024860469426721
0.788825109116281,0.0037126049075906,0.0036886410174799,0.0006418018787312
0.800554867165825,0.0009045558017447,0.0093599501690913,2.8219874260373077e-06
0.7573146255263253,4.339303935418439e-07,0.0177796248021273,0.0013249721822598
0.7156829498753422,0.0010760872366138,0.0209115978747437,0.0056723650053251
0.6808280434678741,0.0041426851023817,0.0258828989555197,0.0109669232971323
0.0423836464048326,0.9909491074344214,0.2060921504411379,0.1889065277586753
0.0322754385879864,0.9415841986492356,0.1547741473725913,0.1807214959843403
0.025846971107103,0.8967406160029664,0.1346774605962261,0.1873785595568129
0.0216056942340395,0.8433694059512189,0.0645436958605189,0.0697564451309318
0.0183555594092339,0.8015895343394522,0.0203996748583243,0.0262382492312262
0.0183555594092339,0.8015895343394522,0.0203996748583243,0.0262382492312262
0.0183555594092339,0.8015895343394522,0.0203996748583243,0.0262382492312262
0.0281645610527411,0.7761175926854689,0.0148997614672567,0.0158110322564819
0.0198868089576103,0.7548006718464388,0.010870757498221,0.011296917959864
0.0116882108571321,0.7360958023316395,0.0078425702278589,0.0072926643843513
0.0043590310028606,0.7133739374679506,0.0043326078246183,0.003562871958107
0.0006760210716893,0.6879711315940527,0.0004504639691084,0.0008668678778207
0.1531358491175907,0.2233339582938703,0.1082861963248721,0.0802214522287721
0.1767509750915882,0.1858020907590349,0.1142944571356632,0.0665840359638345
0.1977477679569179,0.1610164726877024,0.1171537780943744,0.0569220508268309
0.2180745326692321,0.1409160360458172,0.1214728581099542,0.0494701959645181
0.1531358491175907,0.2233339582938703,0.1082861963248721,0.0802214522287721
0.1531358491175907,0.2233339582938703,0.1082861963248721,0.0802214522287721
0.1618342912158937,0.1930364504189547,0.1102966210792957,0.0623112598655359
0.0168207305052619,0.5052779395847168,0.161975439678368,0.0074836345645292
0.0174770366696407,0.4124476675421355,0.124223787149705,0.0079913642027391
0.0206273918384527,0.3386922731773178,0.116168108646144,0.008466044272411
0.0240154281873773,0.2543997314753341,0.1000551599554081,0.008913265362648
0.0243614159703175,0.1924013323325063,0.0907557458114512,0.0092498214301585
0.0260679590550976,0.1250316731015545,0.078000419920504,0.0089588679862339
0.0341913432888624,0.0695919888117743,0.0486209438694574,0.0087212335516867
0.0437384907656534,0.0232269103483758,0.027287634417334,0.0078253858923388
0.0566412404291794,0.0027281340529152,0.0079323885599436,0.0066035720991968
0.0551538344672581,0.00018864615648,0.0036896921435642,0.0064267039828469
0.0534009048344836,0.0010957078946625,0.0011159904912974,0.0062377411975097
0.0523718105128405,0.0083732229862072,0.0001601583156322,0.0060455001735319
0.0511031158443738,0.0288265238309979,0.0014476182160518,0.0057486546193453
0.0562777138845008,0.0560316842292466,0.0026667310821866,0.0050451149584889
0.0559686279275963,0.1047220302753063,0.0097345967364187,0.0041091562721108
0.0534152250296101,0.1661234201247432,0.0195325837561423,0.002896618663787
0.0021257145457489,0.5135532646652705,0.7436542026129016,0.4217225282331506
0.0164348080654637,0.623080542912821,0.8661225622920489,0.4453959261363677
0.0330126825170775,0.6694716863643175,0.9804162974524055,0.4812433034906775
0.0212953473593508,0.7653236484305435,1.087854818286293,0.5402064372896876
0.0098806080534069,0.8568142372893922,1.1891129236297118,0.6084497206267037
0.0015905815042436,1.4354365755827394,2.171759698526398,0.878056980190538
7.379114408612633e-05,1.4833862296301157,2.281642961619432,0.949702390460718
0.0001423497781465,1.8267721756116264,3.6497457637937423,0.990259516861691
8.113280427352545e-05,1.5129643553495982,4.038741308611021,1.0466758577804278
0.0007055308589779,1.2629280423469285,4.315913359560628,1.266338392696649
4.112125318999392e-05,0.669463854452879,4.288323031018226,1.6104946241274645
0.0017243905695371,0.3708230558536901,4.238627391735929,2.2951071693801723
0.006578408172894,0.0982182622623967,4.121699236654489,3.0382699303946965
0.0016500121357864,0.021867033486921,4.020717978671032,3.97451062925519
1.84653052241268e-05,0.001176154280092,3.9725323181653103,4.2829657387265785
0.0009398174605706,0.0023955361353155,3.9306028116764526,4.549081052280797
0.0003495140486612,0.022873155324314,3.909019429770035,5.138679006580791
0.007153318847715,0.0689828747306474,3.8971932907350864,6.614941535430559
0.0148593352056508,0.128723730177743,3.897347381530468,7.980326920125106
0.0231729696377184,0.2508277737470987,3.897191701878402,10.059251444224984
0.0262208602075781,0.4163850403796212,3.8892505818395673,9.99921897604937
0.0181057393445197,0.6715934958091347,3.8845725511851,9.955337998460978
0.6326158467422743,0.6710241440103701,1.3230998847496434,7.947724668860253
0.4849756285657047,0.6300399571795835,1.2052429643338194,7.510031677574288
0.4372377909545112,0.7948552582246181,1.1865181335439614,7.191484338702333
0.3826785797993509,0.9483242049516,1.1747152373792862,6.991765946009227
0.0262109936068169,0.000614361216871,1.7774916395199252,5.326700656999323
0.0534929213987727,0.0056134160476465,1.8023347293263683,5.5263275080414616
0.0431632019863088,0.0125997857529844,1.8017145436238609,5.849113549516473
0.0355027013151848,0.0124982037590706,1.7922608274895475,5.854988551387937
0.0296203892176607,0.0106771198745973,1.7877766552166918,6.136974514290326
0.024981567620142,0.0135909987776392,1.7846071661531295,6.399422279476589
0.0314271470450256,0.0698767478096165,1.8163932638729037,6.467626350745042
0.0432425052098561,0.0918836673908554,1.825064970027616,6.69650179636566
0.018497884814287,0.3967701683466206,5.377833039306872,8.12589869169127
0.0132497916612132,0.1188723894481402,5.394921590839821,7.90031952292729
0.0026219768741844,0.050187853596019,5.39200642769268,7.940455492169729
0.0027989041533406,0.0187501814172768,5.3919644345712365,6.276895714015622
0.0027989041533406,0.0030773558437552,5.386363968451232,5.125018680017652
0.0027989041533406,0.0005075124991664,5.379042987544873,4.71005315991138
0.030270832115383,0.0091972518453975,5.371983539483569,4.2243179986032855
0.0061556008612228,0.0285344719485511,5.380647491097851,3.799972659026042
1.092790497688159e-07,0.0727771713151918,5.396297755771792,3.530879466955263
0.0031649436822533,0.1656729631840817,5.402330739120691,3.335693986393971
0.0077891083223089,0.3125547204836708,5.405873172467452,3.209310195195373
0.0049358022711334,0.549615728034737,5.393909327832096,3.08589234491915
0.0024249205231409,0.9756685393507024,5.366383158403863,3.113371501414163
0.0020377930947274,1.8421113845194876,5.315018914571918,3.371243023363053
0.0029768907262135,1.9393893444100927,5.264915999333063,3.0687660068704465
0.0006563777351635,1.9573130295898,5.176583144353628,2.83591205379498
0.0044372745276734,1.909343563394656,5.0833539484265,2.696733992803927
0.0117717435765943,1.9502546088291164,4.9896894885864205,2.7734060469532493
0.0238693144409731,1.7643915290845091,4.910257658719021,2.789189114704519
0.0374348698797443,1.7819814538490777,4.862853743675961,2.9338284746421817
0.0106489419051324,1.749073732178687,4.828975900850955,3.162939148100439
0.0022475922901576,1.6727354103923604,4.799295080164975,3.5274069835813324
0.0001193056982158,1.8047231068716636,4.772826124687037,3.8897522856671554
0.0007576126673937,1.977616753712304,4.7455646079925,4.47951174494094
0.0016467652586362,2.081745741786209,4.727775041417389,5.413378246270574
0.0001153272696021,2.0260167298565546,4.72867800872598,5.515649024910768
0.0007976450020227,1.726122685684886,4.736314137189141,4.553631538195237
0.0014411146982253,1.6656974467507275,4.748990218481381,3.687909088905808
0.0015823388935188,1.678858098808928,4.788624255788272,3.171538329612333
0.0012854091015531,2.004914622753643,4.842168701912471,2.630047020338468
0.0012090346880544,2.372381871204849,4.913596409040911,2.152967083528341
0.0011349419705955,2.9085752622660705,4.99762378445006,1.837412464478445
0.001998577677497,2.913142837376066,5.06717688242691,1.6680043650080958
0.008466808774703,3.19591076479416,5.140548942516817,1.4857512884165085
0.0169875742987939,3.678928228500984,5.228857989011696,1.4394245050964414
0.0271013621655161,4.363054752470573,5.3402438853962,1.311418773615968
0.0500524192013539,4.947293289222782,5.454385127701828,1.417989728140163
0.0964737184519563,5.886607901207041,5.5846505588687085,1.5199573681138456
0.0871997031106621,6.207279513028822,5.635713880905364,1.5080315007952223
0.0773359673240536,5.98682752777207,5.683530277623149,1.5063245069627886
0.0714256045864827,6.099198692148509,5.748595707409734,1.4754728582736003
0.0729551070524136,5.91877623971901,5.816243134216138,1.456231189397987
0.0838772844853444,5.789486152158784,5.899201497500739,1.403646774171271
0.0119534892383804,2.152075021214364,4.788998487056018,0.2640135285922511
0.0120830611977738,1.7747713167459958,3.847909670561245,0.1144064398824568
0.0121844419210487,1.4373495828461085,3.1184831301932263,0.0638495160792558
0.012265927374991,1.1342304007104531,2.1349100870762863,0.0226493786981964
0.0123328497869796,0.8082043168048095,1.8728426951395836,0.0065728624097431
0.0119149395738049,0.6900680050164004,1.646995954827686,3.992816352632954e-06
0.0124406787232397,0.6862114501910053,1.328054124978965,0.0038558721787894
0.0148514136471972,0.5009646946048231,1.049633598725496,0.0384922362289597
0.015348188344142,0.364202278673267,0.9030085381440408,0.0760011135605934
0.0170929313427364,0.3855587474868852,0.6889951054226429,0.0846510710944023
0.0258823296122188,0.3478472890944588,0.5240598919337147,0.2071256375203992
0.0321357684341407,0.3497557404518286,0.4475611834744675,0.2941779706924702
0.0418358796805956,0.3473523066316442,0.361878852492266,0.5826288981153409
0.0529228330627002,0.2398668632667106,0.2913989834307642,0.6303473389943582
0.0655383248108843,0.1911495062864879,0.2358585301085781,0.6456504079166298
0.0798712068427991,0.1689690078396578,0.1921971053321035,0.570843085931234
0.0961669269663605,0.1703195328121876,0.1536246074885926,0.5603549626058258
0.1139942040605726,0.1287607871957663,0.1436146599961056,0.5821631588112262
0.1332157758212779,0.1047965921797538,0.109928994016192,0.5334921814664181
0.2033025835617946,0.0789529359430038,0.080464661290384,0.4828450170006411
0.2055201727739231,0.0961911422713932,0.0871706242395984,0.4716456765976932
0.2060159392192301,0.0907433824582402,0.0942148174310691,0.4462087392331448
0.2066233528183789,0.0625068701430581,0.0858885575859079,0.4159386588775962
0.2073849136425474,0.0363969103266044,0.0940160194783047,0.3992307508072861
0.2083678276052418,0.0521212905574553,0.1003364104824308,0.3777406429661923
0.1081990439302765,0.0033310479606638,0.5675814557745815,0.4546432477171551
0.1246428125572521,0.0072741585279453,0.6228617577567873,0.4824133121591999
0.1380804357587391,0.0084074613392123,0.5368490893530965,0.5781090812676407
0.1492606347387661,0.0042127320097237,0.4934533981610415,0.5804658531940206
0.1587053355073327,0.0034066452799303,0.4450193553869319,0.6041639610588523
0.1597270286932359,0.0022552042894277,0.4489625567954584,0.6039964698987221
0.1597270286932359,0.0056637396247246,0.4485236470483358,0.6063948316222136
0.1703776035417316,0.010708524505544,0.4134603335628616,0.570978906098116
0.1803292220635639,0.0109981906588694,0.4092150787632773,0.5418069866795253
0.1990126404447666,0.0088717816269809,0.4041043309640222,0.6571982990684891
0.5305379086412243,1.879438973399625,0.0910956158588999,6.617836935848647e-05
0.5076691681504072,1.8822500637378243,0.0905723303856274,0.0002149252718195
0.339336413541238,2.066282993902453,0.0815761968134982,3.128861608398529e-05
0.1677915181837148,1.8457480236155288,0.0673214401085013,4.031864412445303e-05
0.096337461388283,1.7880152751876144,0.0449719015300513,0.0008810564424205
0.0729454420557185,1.7568947068420295,0.0316279718173349,0.0014454229193348
0.0665436450708946,1.4178611807777648,0.0050538281072877,0.0093295264940188
0.0591111743603588,1.1563710626647337,4.867424972983376e-06,0.0144523993079244
0.0518131376437608,0.8416002486125099,0.0008742164661903,0.0167685503494964
0.0565188501609296,0.6583801958285733,0.0039701807391326,0.0196276602348334
0.0214523145558416,0.4009579477873087,0.0144443560633393,0.0283739534642616
0.0095028136873431,0.248584485652398,0.0379334378180816,0.0342236338989003
0.0062833068972269,0.1443941800317396,0.0898216419370499,0.0446095415419746
0.0035047994089511,0.0730655637855096,0.1479443267588711,0.0562005526143102
0.0059947330313364,0.016514766465304,0.2237393029727708,0.0702000205326582
0.0171177080089173,4.472056039161345e-05,0.3035868042184586,0.0813615896895167
0.0341030484947998,0.0117347552285398,0.2992554382601721,0.0821747559801163
0.0365973319108468,0.0316240256398471,0.4316521021550072,0.0922965230400003
0.0196361576912085,0.056845861442493,0.4285004660127977,0.0952434735337825
0.0037528778484798,0.1048992695439488,0.4004852147187457,0.0977178186238609
0.0001505427829194,0.168652997149021,0.4351610198365957,0.0995229637555241
0.0021966110447989,0.237307092877187,0.4488404113645434,0.1019291680930369
0.0128668328545014,0.2841087317276382,0.0725251447184682,0.263895768216871
0.0026619913296748,0.1405627554981781,0.0220874393753768,0.2031219882811709
0.0116619859005385,0.0695940749721659,0.0019895583870223,0.1453069827061993
0.0263882013681891,0.02873798053473,0.0002565803372384,0.0809819083555372
0.1317600633326228,0.0071259828497958,0.0045954659266651,0.0333829268458661
0.1518996299145524,0.0032931333161134,0.0090514217674139,0.0093110131972038
0.1817162861285842,0.0040977389405631,0.0050165684817094,0.0090659767771511
0.2851750373750198,0.0040489358913546,0.0047693438692613,0.0090111121126182
0.2837867960395938,0.0691783070554538,0.0199440377554652,0.0347552645061488
0.458585723352685,0.0468840018893475,0.0101094591762566,0.0258195500731065
0.7481787170108724,0.0236471475593778,0.0014558281774592,0.016894366687834
0.7458531474058758,0.0048444276682292,0.0033134894249767,0.0085702753125825
0.0348251974147649,0.0080996341721748,0.0225266896597017,0.5374173460811659
0.0468855480898718,0.0049224698852874,0.0253810286680073,0.5741420656684361
0.0585231909522601,0.0061408786595335,0.01808599351516,0.6060201433231436
0.0696197942965633,0.0043781220022965,0.0141916858046567,0.6199218998617165
0.0801384410553406,0.0001410635469502,0.0097929332954732,0.6320224352505466
0.0900810286615379,0.0018129083983572,0.0043960277637203,0.6384450602532222
0.1001528707932781,0.0074837953769943,0.0003211377168101,0.6627985054178819
0.3862091074993267,0.0429971617664403,0.043115633124544,0.8979867870212385
0.3862091074993267,0.0429971617664403,0.043115633124544,0.8979867870212385
0.3862091074993267,0.0429971617664403,0.043115633124544,0.8979867870212385
0.3862091074993267,0.0429971617664403,0.043115633124544,0.8979867870212385
0.3907040780026113,0.062715726176908,0.0315367720784632,0.8913419520555677
0.3914074214907693,0.0753848555346301,0.0235937227327054,0.881494298294706
0.1647768948947038,0.1434892882998898,0.2293936742074327,0.1400911756914116
0.1572994592399461,0.1859616693844617,0.2208260680319743,0.1246050562032291
0.151677169123471,0.2258560676540643,0.233168282787143,0.1391507592826934
0.1150605093792771,0.2258706977678896,0.1409713523014472,0.0987712066131421
0.0831528973118985,0.243796059560633,0.090992327978484,0.0622282931813122
0.0623281961823539,0.263047956566237,0.0621148522329738,0.0486590862062483
0.0478924053365678,0.280807978650045,0.0434931936458089,0.0345110644305627
0.0600175808776728,0.3360178043607903,0.0224698919940666,0.0180985471712888
0.0423995438584033,0.4627466586828828,0.0106246857562556,0.0069662279241292
0.0286407482146532,0.6498112567728097,0.0032673193056219,0.003530976156816
0.0183354169684066,0.7802987303347677,0.0001496964808714,0.0004708018699248
0.0084693693059867,0.7945738232710559,0.0010018243318835,1.6799460386589e-05
